,date,variation,Time,VADER score,favorites,weekday,date_backup
87,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.2481,1,5,2019-10-26 06:54:00
88,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.25,16,5,2019-10-26 06:53:00
89,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.7959,40,5,2019-10-26 06:33:00
90,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.6249,1,5,2019-10-26 06:14:00
91,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.4215,2,5,2019-10-26 05:50:00
92,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.6369,1,5,2019-10-26 05:16:00
93,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,5,2019-10-26 05:11:00
94,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3612,1,5,2019-10-26 05:10:00
95,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.4215,3,5,2019-10-26 05:07:00
96,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5709,1,5,2019-10-26 04:54:00
97,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,5,2019-10-26 04:05:00
98,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.5267,14,5,2019-10-26 03:29:00
99,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.1779,1,5,2019-10-26 02:23:00
100,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.4215,11,5,2019-10-26 02:21:00
101,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.6114,90,5,2019-10-26 02:16:00
102,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.4466,1,5,2019-10-26 01:43:00
103,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,3,5,2019-10-26 01:33:00
104,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.6114,90,5,2019-10-26 02:16:00
105,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.7959,40,5,2019-10-26 06:33:00
106,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.2235,1,5,2019-10-26 22:43:00
107,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,3,5,2019-10-26 22:42:00
108,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,12,5,2019-10-26 21:10:00
109,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,3,5,2019-10-26 20:15:00
110,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.29600000000000004,1,5,2019-10-26 20:07:00
111,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.1511,1,5,2019-10-26 19:34:00
112,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.5873,1,5,2019-10-26 18:14:00
