username;date;retweets;favorites;text
StephenPKendal;27/09/2019 04:30;10;21;Great call from @Barchart .!! Zanaga Iron Ore Co. @Zanaga_ Iron_Ore sat on one of the largest iron ore deposits in the World. Current Price = 11.74p. #ZIOC pic.twitter.com/2BN0UCeKey
AnilAgarwal_Ved;25/09/2019 11:24;72;104;Changing ownership of mines without a reason is unheard of. It'll be catastrophic if supply of 70 Mt. of iron ore is disrupted, lakhs of jobs will be lost. Successfully running a mine involves yrs of hard-work, investments in infrastructure, tech., logistics & social development. https:// twitter.com/ETIndustryNews /status/1176759046105382913 …
DONJAZZY;25/09/2019 07:48;238;1078;We import coal and iron ore , despite the huge deposits we have. Iron ore is used to produce Iron, which is then used to produce Steel. Steel is used to produce Automobiles pic.twitter.com/9pExYdMahd
GregNorberg;24/09/2019 20:05;2170;3025;Greta a windmill is made of 260 tons of steel that required 300 tons of iron ore & 170 tons of coking coal, all mined transported & produced by hydrocarbons. A windmill could spin until it falls apart (as this 1 does) &never generates as much energy as was invested in building it pic.twitter.com/6LNAyTXcJd
Tarihc78;24/09/2019 01:01;17;132;I forgot this wild concept art was at the #Disneyland Hotel. Indiana Jones iron ore cart coaster & jeep adventure. Jungle Cruise boat teetering over the edge of a waterfall! DLRR chugging through the massive temple show building! Nina Rae Vaughn. pic.twitter.com/tVgsXe1aTA
FlickReynolds;23/09/2019 09:09;18;69;Why was Gina Reinhart at the White House dinner? Our ambassador for iron ore ? #qanda
DawesPoints;22/09/2019 08:31;25;50;Now that we are past the Northern Summer and the world gets back to work the outlook for #copper just keeps on getting better. All time record shorts on the CoT and real tightness in the copper cons market says copper will soon be following #ironore on its way to new AT highs pic.twitter.com/x7DlwjciIM
LennaLeprena;22/09/2019 00:02;44;142;The Iron Whore...sorry.. iron ore ...rapidly became the centre-piece of the night...everyone deliberately oblivious to the fact that every cent she has was stolen from the Indigenous Australians...
dpradhanbjp;21/09/2019 07:46;44;153;Reviewed the performance of @nmdclimited , one of the largest mining companies of India in the presence of Shri @kishanreddybjp and senior officials of @SteelMinIndia . Instructed #NMDC to focus on increasing iron ore production and maximising productivity and profitability. pic.twitter.com/r4XsOSFY0s
JSPLFoundation;21/09/2019 06:49;38;62;. @JSPLCorporate 's TRB Iron Ore Mines in Tensa, #Odisha bags prestigious Mining Innovation Award by The Indian Mining & Engineering Journal for efforts to ensure eco-friendly and ecological balance in an ecologically fragile environment. Congratulations! @MPNaveenJindal pic.twitter.com/9MnQICO7tZ
meeramohanty;21/09/2019 05:01;8;32;After a year’s wait the Centre agrees to increasing cap of iron ore holdings in Odisha. Move to allow resumption of auctions and @TataSteelLtd ‘s participation in these http://www. ecoti.in/vXqgxZ91 via @economictimes
YuanTalks;19/09/2019 03:57;25;46;#China ’s #IronOre futures extend loss to 4.6% Singapore iron ore futures fell below $90 pic.twitter.com/MV6DFvE3tE
bhuvikal;16/09/2019 15:06;23;35;Senior advocate Harish Salve has blamed the Supreme Court for India’s current economic slowdown. with judgments like 2G, coal block allocation and Goa iron ore mining, the Supreme Court has caused harm to the Indian economy. https:// theprint.in/india/governan ce/judiciary/supreme-court-squarely-to-blame-for-economic-slowdown-says-senior-advocate-harish-salve/292115/amp/?__twitter_impression=true …
GovKaduna;16/09/2019 12:07;259;942;Governor Nasir Ahmad @elrufai is on a site visit to the African Natural Resources & Mines $600 million integrated iron ore mining processing & steel production company situated at Gujeni, Kagarko LGA, Kaduna State. pic.twitter.com/5K44MbM1dj
SteelMinIndia;16/09/2019 11:05;45;104;Government of India has given permission to sell 70 million tonnes of sub grade minerals in the captive mines of SAIL. This would enable @SAILsteel to lead the way in ensuring availability of iron ore in the years up ahead for the steel sector. Thank you @MinesMinIndia
SteelMinIndia;16/09/2019 11:04;55;162;Government of India has taken a decisive step in assuring the supply of iron ore for India’s steel sector by allowing SAIL to sell 25% of its total mineral production in a year. We thank the @MinesMinIndia for this initiative.
DrShobha;16/09/2019 10:51;17;30;Harish Salve says with judgments like 2G, coal block allocation and Goa iron ore mining, the Supreme Court has caused harm to the Indian economy. https:// theprint.in/india/governan ce/judiciary/supreme-court-squarely-to-blame-for-economic-slowdown-says-senior-advocate-harish-salve/292115/amp/?__twitter_impression=true …
PhilipJohnBrow2;15/09/2019 11:54;14;25;For all the people who dislike coal and plastic waste. As a Geologist,I noticed a very interesting Geology video.With a heat source, in lab, the carbon from plastics,in this case a plastic bottle combined with iron ore creates steel.Coal is no longer needed.
