username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chasabat;2019-09-15 21:46;0;0;"Prediction: WEEK 9/15/19 #DJIA #NASDAQ #EURUSD #USDJPY #WTI #BRENT #forex #fx #EURO #YEN #USD #BOJ #ECB $ SPY #DIA #QQQ #OPEC #CrudeOil #Currency #Exchange #Stock #Market #interest #Rate #Federal #Reserve #Fed #Policy #Data #TechnicalAnalysis #DataScience #MachineLearning #AI pic.twitter.com/tzfdUodH2L";;;#DJIA #NASDAQ #EURUSD #USDJPY #WTI #BRENT #forex #fx #EURO #YEN #USD #BOJ #ECB #DIA #QQQ #OPEC #CrudeOil #Currency #Exchange #Stock #Market #interest #Rate #Federal #Reserve #Fed #Policy #Data #TechnicalAnalysis #DataScience #MachineLearning #AI;"1173397836022583296";https://twitter.com/chasabat/status/1173397836022583296
CMCMarketsAusNZ;2019-09-15 21:45;0;0;"Brent crude oil contracts jumped more than 20% at the Asia Pacific opening this morning. The buying follows a co-ordinated drone attack on two major oil facilities in Saudi Arabia over the weekend. @MicMcCarthy_CMC";;@MicMcCarthy_CMC;;"1173397438415159300";https://twitter.com/CMCMarketsAusNZ/status/1173397438415159300
KevweIbodje;2019-09-15 21:41;0;2;"Oil prices are going following attack on Saudi oil facility. #Oilandgas #Saudi #Crudeoil #Brent";;;#Oilandgas #Saudi #Crudeoil #Brent;"1173396374332825601";https://twitter.com/KevweIbodje/status/1173396374332825601
SchwartzNow;2019-09-15 21:38;0;0;"Inside job? - Brent crude #oil futures are trading up 13% - So, that country’s main export just got a lot more valuable #Energy #Business https:// twitter.com/Joyce_Karam/st atus/1173332196595261440 … pic.twitter.com/fK5Tj1brz1";;;#oil #Energy #Business;"1173395600005464064";https://twitter.com/SchwartzNow/status/1173395600005464064
Quikstiix;2019-09-15 21:35;0;1;"I just shorted Brent Crude Oil $ BCO";;;;"1173394936064032773";https://twitter.com/Quikstiix/status/1173394936064032773
billlionnaire;2019-09-15 21:34;0;0;"Crude Oil Brent futures pic.twitter.com/2Wj8qcwHSB";;;;"1173394694807662592";https://twitter.com/billlionnaire/status/1173394694807662592
1celticwomyn;2019-09-15 21:29;0;0;"DAMMIT!!! I can barely afford gas now!! W T F!!! Brent crude oil jumps 13% after drone strikes disrupt Saudi crude production #Topbuzz http://www. topbuzz.com/article/i67370 26089110995461?app_id=1222&gid=6737026089110995461&impr_id=6737058888087554309&language=en&region=us&user_id=6648210018753724421&c=tw …";;;#Topbuzz;"1173393559157977089";https://twitter.com/1celticwomyn/status/1173393559157977089
PATRICIAMEEHA17;2019-09-15 21:24;1;1;"WHY IS INEPT STUPID IDIOT @realDonaldTrump GOING TO HELP THE MAIN COUNTRY RESPONSIBLE 9/11 ?? #TrumpHatesTheUSAMilitary #trumpHates98 %OfAMERICANS @funder @tedlieu Brent crude oil jumps 13% after drone strikes disrupt Saudi crude production #Topbuzz http:// va.topbuzz.com/s/UhYkkc";;@realDonaldTrump @funder @tedlieu;#TrumpHatesTheUSAMilitary #trumpHates98 #Topbuzz;"1173392174228156416";https://twitter.com/PATRICIAMEEHA17/status/1173392174228156416
Barkum68;2019-09-15 21:23;1;0;"Wow, because oil production in #SaudiArabia has fallen by 5%, the price of #oil is rising enormously. Something I had expected by the way. There are enough oil stocks so this is too ridiculous for words. Brent Oil: 68,27 +13,07% Light Sweet Crude Oil 61,16 +11,02%";;;#SaudiArabia #oil;"1173391951967793152";https://twitter.com/Barkum68/status/1173391951967793152
gunNesh33;2019-09-15 21:19;0;0;""Oil prices soared in the wake of the attack, to reach six-month highs on Monday, with gains of as much as 20%. Brent crude oil , the international benchmark, gained almost $12 a barrel reaching up to $71.95 a barrel, before dropping back to $68 a barrel" https://www. theguardian.com/world/2019/sep /16/trump-says-us-locked-and-loaded-after-saudi-arabia-oil-attack-as-crude-prices-soar-iran-aramco …";;;;"1173390964787994624";https://twitter.com/gunNesh33/status/1173390964787994624
BBCSalman;2019-09-15 21:17;2;5;"#Oil prices hit their highest in four months after two #attacks on #SaudiArabia facilities on Saturday knocked out more than 5% of global supply. Brent #crude oil jumped 19% to $71.95 a #barrel . https://www. bbc.com/news/business- 49710820 …";;;#Oil #attacks #SaudiArabia #crude #barrel;"1173390314960228352";https://twitter.com/BBCSalman/status/1173390314960228352
gurneyfinancial;2019-09-15 21:09;0;0;"Massive surge in Crude Oil and Brent after a drone attack on Saudi production rigs. Be careful if you're big into oil trading. This might be a dead cat pounce prior to driving season ends. Meanwhile, futures are down mildly in front of a busy week! $ GLD & $ SLV rising. pic.twitter.com/Xg1anbEhHf";;;;"1173388358787174401";https://twitter.com/gurneyfinancial/status/1173388358787174401
EINOilGasNews;2019-09-15 21:00;0;1;"Brent crude oil jumps 12% after drone strikes disrupt Saudi crude production http:// s.einnews.com/pESZfv3XL8";;;;"1173386206203252736";https://twitter.com/EINOilGasNews/status/1173386206203252736
