date,1. open,2. high,3. low,4. close,5. volume
2019-08-13 10:16:00,3.27,3.28,3.265,3.28,124746.0
2019-08-13 10:17:00,3.28,3.29,3.27,3.2811,126621.0
2019-08-13 10:18:00,3.2756,3.2756,3.27,3.27,7303.0
2019-08-13 10:19:00,3.27,3.275,3.27,3.275,300.0
2019-08-13 10:20:00,3.28,3.29,3.27,3.28,89729.0
2019-08-13 10:21:00,3.285,3.285,3.28,3.28,9350.0
2019-08-13 10:22:00,3.2884,3.2943,3.285,3.2917,82540.0
2019-08-13 10:23:00,3.29,3.3,3.28,3.3,87297.0
2019-08-13 10:24:00,3.2975,3.3,3.295,3.2981,11291.0
2019-08-13 10:25:00,3.3,3.3039,3.29,3.3,136122.0
2019-08-13 10:26:00,3.295,3.31,3.2941,3.31,126131.0
2019-08-13 10:27:00,3.31,3.31,3.305,3.305,10415.0
2019-08-13 10:28:00,3.305,3.31,3.305,3.31,25024.0
2019-08-13 10:29:00,3.3003,3.3051,3.3003,3.305,19600.0
2019-08-13 10:30:00,3.31,3.315,3.295,3.3,327540.0
2019-08-13 10:31:00,3.305,3.305,3.3,3.3,8720.0
2019-08-13 10:33:00,3.305,3.3283,3.3,3.32,138038.0
2019-08-13 10:34:00,3.32,3.33,3.3139,3.325,96754.0
2019-08-13 10:35:00,3.325,3.3267,3.31,3.32,76430.0
2019-08-13 10:36:00,3.32,3.32,3.3141,3.32,38385.0
2019-08-13 10:37:00,3.315,3.315,3.31,3.31,45191.0
2019-08-13 10:38:00,3.3148,3.315,3.305,3.305,36301.0
2019-08-13 10:39:00,3.305,3.31,3.305,3.305,5910.0
2019-08-13 10:40:00,3.305,3.305,3.3,3.3,1208.0
2019-08-13 10:41:00,3.3,3.305,3.295,3.295,28432.0
2019-08-13 10:42:00,3.295,3.3059,3.29,3.3,111296.0
2019-08-13 10:43:00,3.305,3.305,3.29,3.29,41010.0
2019-08-13 10:44:00,3.295,3.295,3.29,3.2905,8407.0
2019-08-13 10:45:00,3.295,3.295,3.29,3.29,12040.0
2019-08-13 10:46:00,3.29,3.3,3.29,3.3,90957.0
2019-08-13 10:47:00,3.29,3.295,3.29,3.2929,22110.0
2019-08-13 10:48:00,3.29,3.295,3.28,3.295,73880.0
2019-08-13 10:49:00,3.29,3.295,3.29,3.29,19026.0
2019-08-13 10:50:00,3.29,3.29,3.285,3.285,28490.0
2019-08-13 10:51:00,3.285,3.29,3.28,3.285,12340.0
2019-08-13 10:52:00,3.284,3.2942,3.284,3.2942,94731.0
2019-08-13 10:53:00,3.29,3.295,3.29,3.29,17500.0
2019-08-13 10:54:00,3.3,3.3,3.295,3.295,10700.0
2019-08-13 10:55:00,3.295,3.3,3.295,3.295,4011.0
2019-08-13 10:56:00,3.295,3.295,3.295,3.295,4050.0
2019-08-13 10:57:00,3.2956,3.2956,3.29,3.29,3100.0
2019-08-13 10:58:00,3.29,3.295,3.29,3.29,23253.0
2019-08-13 10:59:00,3.29,3.295,3.29,3.295,9650.0
2019-08-13 11:00:00,3.29,3.295,3.285,3.285,16464.0
2019-08-13 11:01:00,3.285,3.2867,3.28,3.28,5850.0
2019-08-13 11:02:00,3.285,3.29,3.285,3.29,26565.0
2019-08-13 11:03:00,3.285,3.285,3.28,3.28,7262.0
2019-08-13 11:04:00,3.28,3.28,3.28,3.28,114.0
2019-08-13 11:05:00,3.28,3.285,3.27,3.27,42615.0
2019-08-13 11:06:00,3.27,3.275,3.27,3.27,1620.0
2019-08-13 11:07:00,3.275,3.28,3.275,3.28,11402.0
2019-08-13 11:08:00,3.2799,3.2824,3.275,3.2801,109654.0
