username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RightistSingh;2018-03-21 09:54;28;38;"Ties from #Kabuliwalah to #SAARC to #Bollywood are rock solid -Concessions 50 to 100% on Afghani dry fruits -Duty free access -various infrastructure projects including Salma Dam and Garland #roads , #hospitals , #University , their #Parliament ! - $11 bn Hajigak iron ore mines pic.twitter.com/CpoEuW3kH0";;;#Kabuliwalah #SAARC #Bollywood #roads #hospitals #University #Parliament;"976441812142366720";https://twitter.com/RightistSingh/status/976441812142366720
PARInetwork;2018-03-21 04:53;20;15;"In seven Keonjhar villages, #Adivasi consent is manufactured to turn their forest into an iron ore mine #internationalforestsday https:// ruralindiaonline.org/articles/how-t o-steal-a-79000-crore-rupee-forest …";;;#Adivasi #internationalforestsday;"976366074143780865";https://twitter.com/PARInetwork/status/976366074143780865
BaldingsWorld;2018-03-21 04:14;3;26;"BHP iron ore forecast about as reliable as my 4 year old hopped up on juice boxes making an iron ore forecast https:// twitter.com/YuanTalks/stat us/976354552042500096 …";;;;"976356338014961664";https://twitter.com/BaldingsWorld/status/976356338014961664
nyunggai;2018-03-21 01:52;16;66;"Memo to Green activists. Iron ore is not a fossil fuel. But it is used to make wind turbines ... #auspol https:// twitter.com/janeyhowe/stat us/976313341126762496 …";;;#auspol;"976320707276623872";https://twitter.com/nyunggai/status/976320707276623872
nyunggai;2018-03-21 00:48;16;60;"Fortescue Metals Group’s largest ever cohort of apprentices is ready to take up positions across the iron ore miner’s sites in the Pilbara and 80% are Aboriginal. #auspol #mundinebiz http:// ow.ly/WkRX30j4iXT";;;#auspol #mundinebiz;"976304498799865857";https://twitter.com/nyunggai/status/976304498799865857
bymarktwain;2018-03-20 22:20;10;54;"Everything has its limit - iron ore cannot be educated into gold. #MarkTwain";;;#MarkTwain;"976267168919818240";https://twitter.com/bymarktwain/status/976267168919818240
SenTinaSmith;2018-03-20 12:36;9;39;"If you visit Duluth, you’ll likely see a shipping vessel docking or departing from the Port of Duluth-Superior. This port sees hundreds of vessels carrying iron ore , grain, limestone, and other project cargoes annually. pic.twitter.com/qwFTM1Qe11";;;;"976120390744530944";https://twitter.com/SenTinaSmith/status/976120390744530944
Satyanewshi;2018-03-20 09:38;40;25;"Scams of LEFT IN BENGAL Sanchayita Overland Investments Verona Chit Fund, Renaissance Small Savings and Investment Limited. Chandan Bose and how he became a REAL ESTATE TYCOON MPS CHIT FUND ROSE VALLEY iron ore fines export potato procurement scam";;;;"976075486848679938";https://twitter.com/Satyanewshi/status/976075486848679938
lisaabramowicz1;2018-03-19 07:34;62;71;"Iron ore is falling a notable amount today, & is now at the lowest level since November. Chinese ports are stockpiling more of the commodity than some expected, & investors are worried about slowing demand from China's weakening housing market. pic.twitter.com/PRGWOfUCbk";;;;"975681838021738496";https://twitter.com/lisaabramowicz1/status/975681838021738496
FinancialTimes;2018-03-17 19:31;28;68;"Built to haul iron ore to the coast, Sweden’s Malmbanan railway now also gives tourists access to a pristine wilderness http:// on.ft.com/2Dz5ERq pic.twitter.com/8AgqF9Ok7y";;;;"975137492663001088";https://twitter.com/FinancialTimes/status/975137492663001088
