,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
30,SDouraya,2019-08-13 04:28,1,3,Crude Oil Closing Prices (08-12-2019) West Texas Intermediate: $54.76 Brent: $58.45 #WTI #Brent #today #oilandgas,,,#WTI #Brent #today #oilandgas,1161177593204232192,https://twitter.com/SDouraya/status/1161177593204232192
31,SwissSAConsult,2019-08-13 03:18,0,0,The South African Currency is trading at 15.25 (15.33) to the to the US Greenback The good news is that the Brent Crude Oil Price is continuing it's downward spiral and is trading at US$58.50 (58.55),,,,1161160145977655296,https://twitter.com/SwissSAConsult/status/1161160145977655296
32,jerrylad,2019-08-12 22:04,0,0,"I'm not against Scottish independence per se, but it will find it hard to make ends meet, let alone flourish, if it binds itself to the EU. In the 2014 ref the economic model was based on Brent crude oil at $130 per barrel when it has barely been half that.",,,,1161081058999357440,https://twitter.com/jerrylad/status/1161081058999357440
0,stlouisfed,2019-08-21 20:50,9,4,"Weekly spot prices for Brent and West Texas Intermediate crude oil tick up to $58.25 and $55.31 per barrel, respectively. See the long-term trend in FRED http:// ow.ly/IoOs50vEZyG pic.twitter.com/ngQmUpkHkN",,,,1164323820183982089,https://twitter.com/stlouisfed/status/1164323820183982089
1,vas_georgiadis,2019-08-21 19:48,1,4,#Gold #silver #copper #crude #oil #WTI #brent #natural #gas #gasoline #commodities pic.twitter.com/iWk72fmnYZ,,,#Gold #silver #copper #crude #oil #WTI #brent #natural #gas #gasoline #commodities,1164308382767099904,https://twitter.com/vas_georgiadis/status/1164308382767099904
2,TMXmoney,2019-08-21 17:10,1,0,Commodities at close: Crude Oil $55.870 | Brent Crude $60.340 | Nat Gas $2.172 | More: http:// tmx.mn/1Ep4VC7,,,,1164268589827989512,https://twitter.com/TMXmoney/status/1164268589827989512
3,wijaranakula,2019-08-21 16:59,3,1,"The U.S. petroleum product inventories, including gasoline, diesel and jet fuel, are piling up and are at their highest levels since Q3 2016. The crude oil inventories seem to be irrelevant to crude oil prices. $ WTIC $ BRENT #gasoline #oil $ USO $ CL pic.twitter.com/thtSMh3DXg",,,#gasoline #oil,1164265793430773760,https://twitter.com/wijaranakula/status/1164265793430773760
4,realsmallspec,2019-08-21 15:26,0,1,"4 certain #stocks $ oil end red this week, month, yr. Crash just begin. Chart exact like Dec 2018. Bulls r screwed. Shorts $ crc $ mro $ xle $ work #es_f $ Brent win #crudeoil $ uso #oott #cl_f $ wti $ bno $ xop $ oih $ spx #SPX #SPX500 $ spy $ ndx $ qqq $ xlk #NASDAQ $ iwm #fintwit #StockMarket https:// twitter.com/realsmallspec/ status/1164216158259572737 …",,,#stocks #es_f #crudeoil #oott #cl_f #SPX #SPX500 #NASDAQ #fintwit #StockMarket,1164242408512471041,https://twitter.com/realsmallspec/status/1164242408512471041
5,cmdtyEnergy,2019-08-21 14:23,0,1,"Oct WTI #crude #oil (CLU19) this morning was up by +0.26 (+0.46%), Oct Brent #crudeoil (CBV19) is up by +0.66 (+1.10%), and Oct RBOB #gasoline (RBU19) is up by +0.0093 (+0.60%). Learn more about today's markets here: https://www. barchart.com/story/news/cmd tynewswires/3533646/energy-complex-sees-support-from-eia-report-and-strength-in-stocks … pic.twitter.com/z80Pho2SaQ",,,#crude #oil #crudeoil #gasoline,1164226478021763072,https://twitter.com/cmdtyEnergy/status/1164226478021763072
6,speametofficial,2019-08-21 14:13,0,2,Trade talk- Prices of: WTI Crude oil Brent crude oil Natural gas Local prices of chennai! #1 #shapingthefuture #tradetalk pic.twitter.com/sSWdv93FcF,,,#1 #shapingthefuture #tradetalk,1164223951590973440,https://twitter.com/speametofficial/status/1164223951590973440
